request_id,customer_segment,service_area,channel,region,request_type,urgency_score,previous_cases_90d,account_age_months,open_cases_at_submission,avg_response_minutes_30d,sentiment_score_at_submission,missing_documents_flag,weekend_submission,priority_class,sla_breach,resolution_days_post_outcome,post_resolution_status
REQ-00001,Individual,HR services,Email,South East,Billing query,3,2,34,1,26.4,0.95,1,1,Standard,1,7.6,Late - complex
REQ-00002,Enterprise,IT support,Email,Wales,Access issue,1,2,3,1,83.6,0.411,0,0,Low,0,4.2,Early close
REQ-00003,Individual,IT support,Portal,Scotland,Technical incident,4,2,36,0,52.3,-0.287,0,0,Urgent,1,5.8,Late - dependency
REQ-00004,Public sector,HR services,Email,Midlands,Billing query,3,1,16,1,57.6,-0.58,0,0,Low,1,6.0,Late - dependency
REQ-00005,SME,Customer success,Email,South East,Complaint,4,0,65,0,50.1,0.305,0,0,Standard,1,7.5,Late - staffing
REQ-00006,Individual,Facilities,Email,Scotland,Access issue,4,1,19,1,173.6,0.025,0,0,Urgent,1,8.2,Late - dependency
REQ-00007,Individual,HR services,Portal,Midlands,Access issue,4,1,15,0,46.8,-0.593,0,0,Urgent,1,9.3,Late - dependency
REQ-00008,Individual,IT support,Portal,London,Billing query,3,1,2,1,5.0,0.243,1,0,Urgent,0,5.8,On time
REQ-00009,SME,IT support,Portal,London,Billing query,1,0,10,2,14.0,-0.071,0,0,Low,0,3.5,Early close
REQ-00010,Enterprise,Finance operations,Portal,South East,Billing query,1,2,16,0,96.6,0.289,0,0,Low,1,8.0,Late - complex
REQ-00011,Enterprise,Facilities,Portal,Northern Ireland,Technical incident,3,2,17,1,116.8,0.249,1,0,Urgent,0,4.9,On time
REQ-00012,Individual,Customer success,Portal,North West,Billing query,2,2,53,0,46.1,-0.224,0,0,Standard,1,5.4,Late - staffing
REQ-00013,Public sector,Customer success,Phone,North West,Technical incident,4,3,64,2,114.8,0.335,0,0,Urgent,1,8.0,Late - complex
REQ-00014,Individual,Customer success,Portal,London,Change request,3,1,61,0,96.0,-0.174,0,0,Low,0,3.4,On time
REQ-00015,Enterprise,Customer success,Phone,Midlands,Technical incident,5,1,68,0,63.4,-0.145,1,0,Urgent,1,8.2,Late - dependency
REQ-00016,SME,Customer success,Email,London,Technical incident,1,1,64,1,60.9,-0.19,0,0,Low,0,0.6,On time
REQ-00017,Enterprise,IT support,Phone,Wales,Policy question,2,1,33,1,76.3,0.559,0,0,Low,0,3.0,On time
REQ-00018,SME,IT support,Email,Northern Ireland,Access issue,4,0,28,0,100.7,-0.076,0,0,Standard,1,6.8,Late - staffing
REQ-00019,Individual,Finance operations,Email,London,Billing query,1,3,47,2,83.9,0.668,0,0,Low,1,6.2,Late - staffing
REQ-00020,Public sector,HR services,Email,Wales,Complaint,2,1,23,0,46.3,0.853,0,0,Standard,1,6.7,Late - complex
REQ-00021,Individual,IT support,Chat,Wales,Technical incident,4,2,43,0,63.9,-0.282,1,0,Urgent,1,6.3,Late - staffing
REQ-00022,Enterprise,Customer success,Email,Midlands,Billing query,3,1,71,0,139.3,-1.0,0,0,Low,1,8.8,Late - staffing
REQ-00023,Individual,Facilities,Email,North West,Policy question,4,1,15,1,78.8,0.52,0,1,Standard,0,5.6,Early close
REQ-00024,Individual,HR services,Email,Scotland,Change request,3,0,55,4,100.4,-0.104,0,0,Standard,0,4.5,On time
REQ-00025,Individual,IT support,Phone,London,Technical incident,5,3,67,0,88.9,-0.34,0,1,Urgent,1,6.8,Late - complex
REQ-00026,SME,IT support,Portal,South East,Technical incident,5,1,39,0,79.6,-0.215,0,0,Urgent,1,7.4,Late - staffing
REQ-00027,Enterprise,IT support,Email,Midlands,Change request,5,1,26,1,73.8,-0.137,0,0,Standard,1,9.4,Late - complex
REQ-00028,SME,Customer success,Email,London,Technical incident,1,1,19,0,101.4,0.634,0,0,Low,1,4.7,Late - complex
REQ-00029,SME,HR services,Chat,Scotland,Technical incident,3,1,12,0,95.2,0.122,0,0,Standard,1,6.4,Late - staffing
REQ-00030,Public sector,Facilities,Email,Midlands,Access issue,1,2,23,0,79.2,0.628,0,1,Low,1,5.1,Late - dependency
REQ-00031,Individual,Finance operations,Email,London,Access issue,2,6,54,2,45.7,0.272,0,0,Standard,1,5.2,Late - complex
REQ-00032,Individual,Finance operations,Chat,North West,Complaint,2,2,37,1,83.5,-0.089,1,1,Urgent,1,5.6,Late - staffing
REQ-00033,Enterprise,Finance operations,Portal,Wales,Technical incident,4,0,16,0,67.7,-0.126,1,0,Urgent,1,8.6,Late - complex
REQ-00034,Enterprise,Facilities,Portal,North West,Policy question,3,1,39,0,59.2,0.303,0,0,Standard,1,7.6,Late - dependency
REQ-00035,Enterprise,Facilities,Portal,North West,Technical incident,5,2,58,1,163.8,0.419,0,0,Urgent,1,8.2,Late - complex
REQ-00036,SME,IT support,Portal,Scotland,Access issue,2,2,1,0,16.1,0.499,0,0,Standard,1,7.6,Late - staffing
REQ-00037,SME,Customer success,Portal,London,Change request,4,2,2,1,103.5,-0.068,0,0,Urgent,0,4.2,On time
REQ-00038,Enterprise,IT support,Portal,Wales,Billing query,4,1,69,0,39.8,0.129,0,1,Standard,0,4.2,On time
REQ-00039,SME,Customer success,Phone,South East,Change request,5,2,54,2,74.6,0.313,0,0,Urgent,1,10.6,Late - dependency
REQ-00040,Public sector,IT support,Phone,Wales,Technical incident,2,1,41,1,159.9,-0.123,1,1,Standard,1,6.1,Late - staffing
REQ-00041,Enterprise,IT support,Portal,London,Billing query,4,2,65,2,36.3,-0.461,0,1,Urgent,1,7.2,Late - dependency
REQ-00042,Individual,Customer success,Email,Midlands,Access issue,1,1,42,0,44.7,-0.313,0,0,Low,1,4.4,Late - dependency
REQ-00043,Public sector,IT support,Portal,London,Change request,3,2,37,1,69.4,-0.058,0,0,Urgent,1,5.6,Late - dependency
REQ-00044,SME,Finance operations,Chat,Midlands,Access issue,3,2,16,1,40.3,0.348,0,0,Standard,1,6.9,Late - dependency
REQ-00045,Individual,Finance operations,Portal,North West,Access issue,5,1,58,3,100.9,0.617,0,0,Urgent,1,8.3,Late - complex
REQ-00046,Individual,IT support,Email,Midlands,Change request,4,1,55,1,51.3,-0.56,1,1,Urgent,1,7.2,Late - dependency
REQ-00047,Enterprise,Facilities,Portal,London,Policy question,5,3,21,1,92.9,-0.219,0,1,Urgent,1,7.3,Late - dependency
REQ-00048,SME,Customer success,Email,London,Policy question,5,1,53,2,23.5,-0.111,0,1,Urgent,1,8.4,Late - complex
REQ-00049,Public sector,Customer success,Portal,Wales,Billing query,3,1,52,0,6.8,0.408,0,0,Low,1,5.7,Late - complex
REQ-00050,SME,Finance operations,Phone,London,Change request,4,3,7,0,62.0,-0.188,0,0,Urgent,1,6.6,Late - dependency
REQ-00051,SME,HR services,Portal,London,Billing query,1,1,12,1,15.1,-0.143,0,0,Low,1,6.0,Late - staffing
REQ-00052,SME,IT support,Chat,South East,Billing query,3,2,43,1,123.1,-0.585,0,1,Standard,1,9.2,Late - complex
REQ-00053,Individual,IT support,Email,Midlands,Billing query,1,2,45,1,16.5,0.268,0,0,Low,0,5.3,Early close
REQ-00054,Public sector,IT support,Phone,London,Billing query,4,3,47,0,33.7,-0.023,0,0,Urgent,0,6.8,On time
REQ-00055,Public sector,Customer success,Phone,Midlands,Billing query,5,2,27,1,84.5,-0.244,0,0,Urgent,0,6.3,On time
REQ-00056,Individual,Customer success,Chat,Midlands,Access issue,4,2,60,0,49.5,-0.067,0,0,Urgent,1,7.4,Late - dependency
REQ-00057,Enterprise,Facilities,Portal,Midlands,Access issue,5,6,32,0,16.9,0.557,0,0,Urgent,1,10.1,Late - complex
REQ-00058,Public sector,HR services,Portal,South East,Policy question,2,1,15,0,141.4,-0.402,0,0,Standard,1,4.9,Late - dependency
REQ-00059,SME,HR services,Portal,South East,Change request,5,3,9,1,34.9,-0.329,1,1,Urgent,1,10.3,Late - complex
REQ-00060,SME,HR services,Portal,Wales,Access issue,3,1,63,0,63.1,0.614,0,0,Urgent,1,3.9,Late - staffing
