threshold,precision,recall,f1,accuracy,true_positives,false_positives,true_negatives,false_negatives
0.2,0.728,0.975,0.833,0.724,155,58,8,4
0.25,0.751,0.95,0.839,0.742,151,50,16,8
0.3,0.768,0.918,0.837,0.747,146,44,22,13
0.35,0.788,0.887,0.834,0.751,141,38,28,18
0.4,0.826,0.836,0.831,0.76,133,28,38,26
0.5,0.811,0.673,0.735,0.658,107,25,41,52
0.6,0.838,0.522,0.643,0.591,83,16,50,76
0.65,0.847,0.453,0.59,0.556,72,13,53,87
0.7,0.866,0.365,0.513,0.511,58,9,57,101
0.75,0.846,0.277,0.417,0.453,44,8,58,115
0.8,0.833,0.22,0.348,0.418,35,7,59,124
